Fecha;Turno;Tipo_mineral;Tonelaje_tph; Ley_Cu_pct;Recuperacion_pct;Potencia_kW 
01-01-2025 00:00;Noche;A;1445,0;0,815;86,92;3453,7
01-01-2025 01:00;Noche;A;1459,4;0,760;85,84;3428,9
01-01-2025 02:00;Noche;A;1450,3;0,760;86,40;3482,4
01-01-2025 03:00;Noche;A;1422,1;0,869;84,51;3470,5
01-01-2025 04:00;Noche;A;1424,2;0,811;81,76;3444,0
01-01-2025 05:00;Noche;A;1407,9;0,900;85,11;3439,5
01-01-2025 06:00;Noche;A;1444,1;0,957;86,47;3521,9
01-01-2025 07:00;Noche;A;1528,6;0,922;86,19;3546,3
01-01-2025 08:00;Dia;A;1637,6;0,910;88,06;3602,7
01-01-2025 09:00;Dia;A;1625,4;0,877;89,11;3592,9
01-01-2025 10:00;Dia;A;1663,1;0,882;86,31;3646,7
01-01-2025 11:00;Dia;A;1684,7;0,912;87,16;3658,4
01-01-2025 12:00;Dia;A;1688,1;0,894;89,04;3651,0
01-01-2025 13:00;Dia;A;1643,9;0,922;88,30;3577,8
01-01-2025 14:00;Dia;A;1644,5;0,940;88,29;3614,9
01-01-2025 15:00;Dia;A;1670,7;0,905;89,51;3619,8
01-01-2025 16:00;Dia;A;1599,9;0,880;88,71;3599,2
01-01-2025 17:00;Dia;A;1579,3;0,844;86,92;3624,0
01-01-2025 18:00;Dia;A;1499,0;0,838;86,48;3563,5
01-01-2025 19:00;Dia;A;1460,8;0,767;84,96;3525,2
01-01-2025 20:00;Noche;A;1286,4;0,796;86,63;3394,5
01-01-2025 21:00;Noche;A;1311,7;0,804;84,75;3391,5
01-01-2025 22:00;Noche;A;1287,1;0,763;86,54;3398,8
01-01-2025 23:00;Noche;A;1334,3;0,880;85,21;3396,8
02-01-2025 00:00;Noche;A;1367,2;0,809;85,54;3421,7
02-01-2025 01:00;Noche;A;1380,7;0,780;83,99;3412,0
02-01-2025 02:00;Noche;A;1297,0;0,823;84,79;3390,5
02-01-2025 03:00;Noche;A;1322,0;0,753;86,32;3407,0
02-01-2025 04:00;Noche;A;1366,1;0,772;87,77;3508,0
02-01-2025 05:00;Noche;A;1410,8;0,754;88,75;3490,8
02-01-2025 06:00;Noche;A;1379,5;0,773;87,92;3440,0
02-01-2025 07:00;Noche;A;1403,8;0,823;87,98;3500,9
02-01-2025 08:00;Dia;A;1523,6;0,872;88,37;3531,8
02-01-2025 09:00;Dia;A;1532,0;0,933;89,35;3594,4
02-01-2025 10:00;Dia;A;1617,0;0,950;88,68;3640,4
